,dia,variable,value
10044,2013-01-07,n,4033
10045,2013-01-08,n,4006
10046,2013-01-09,n,3979
10047,2013-01-10,n,3925
10048,2013-01-11,n,3894
10049,2013-01-12,n,3816
10050,2013-01-13,n,3664
10051,2013-01-14,n,3948
10052,2013-01-15,n,3973
10053,2013-01-16,n,3917
10054,2013-01-17,n,3979
10055,2013-01-18,n,4019
10056,2013-01-19,n,3939
10057,2013-01-20,n,3708
10058,2013-01-21,n,4091
10059,2013-01-22,n,4154
10060,2013-01-23,n,4125
10061,2013-01-24,n,4096
10062,2013-01-25,n,4057
10063,2013-01-26,n,4008
10064,2013-01-27,n,3847
10065,2013-01-28,n,4158
10066,2013-01-29,n,4154
10067,2013-01-30,n,4169
10068,2013-01-31,n,4189
10069,2013-02-01,n,4168
10070,2013-02-02,n,4040
10071,2013-02-03,n,3840
10072,2013-02-04,n,4146
10073,2013-02-05,n,4122
10074,2013-02-06,n,4132
10075,2013-02-07,n,4056
10076,2013-02-08,n,4102
10077,2013-02-09,n,4013
10078,2013-02-10,n,3873
10079,2013-02-11,n,3931
10080,2013-02-12,n,3848
10081,2013-02-13,n,3908
10082,2013-02-14,n,4026
10083,2013-02-15,n,4155
10084,2013-02-16,n,4047
10085,2013-02-17,n,3897
10086,2013-02-18,n,4186
10087,2013-02-19,n,4099
10088,2013-02-20,n,4095
10089,2013-02-21,n,4134
10090,2013-02-22,n,4210
10091,2013-02-23,n,4165
10092,2013-02-24,n,3920
10093,2013-02-25,n,4143
10094,2013-02-26,n,4196
10095,2013-02-27,n,4209
10096,2013-02-28,n,4259
10097,2013-03-01,n,4234
10098,2013-03-02,n,4096
10099,2013-03-03,n,3961
10100,2013-03-04,n,4237
10101,2013-03-05,n,4390
10102,2013-03-06,n,4400
10103,2013-03-07,n,4286
10104,2013-03-08,n,4308
10105,2013-03-09,n,4230
10106,2013-03-10,n,3966
10107,2013-03-11,n,4300
10108,2013-03-12,n,4412
10109,2013-03-13,n,4411
10110,2013-03-14,n,4378
10111,2013-03-15,n,4367
10112,2013-03-16,n,4137
10113,2013-03-17,n,4091
