,dia,variable,value
6698,2013-01-07,ne,9388
6699,2013-01-08,ne,9596
6700,2013-01-09,ne,9674
6701,2013-01-10,ne,9770
6702,2013-01-11,ne,9664
6703,2013-01-12,ne,9045
6704,2013-01-13,ne,8186
6705,2013-01-14,ne,9257
6706,2013-01-15,ne,9362
6707,2013-01-16,ne,9483
6708,2013-01-17,ne,9522
6709,2013-01-18,ne,9513
6710,2013-01-19,ne,8972
6711,2013-01-20,ne,8157
6712,2013-01-21,ne,9311
6713,2013-01-22,ne,9384
6714,2013-01-23,ne,9362
6715,2013-01-24,ne,9388
6716,2013-01-25,ne,9457
6717,2013-01-26,ne,9062
6718,2013-01-27,ne,8346
6719,2013-01-28,ne,9457
6720,2013-01-29,ne,9636
6721,2013-01-30,ne,9713
6722,2013-01-31,ne,9695
6723,2013-02-01,ne,9670
6724,2013-02-02,ne,9198
6725,2013-02-03,ne,8492
6726,2013-02-04,ne,9604
6727,2013-02-05,ne,9864
6728,2013-02-06,ne,9857
6729,2013-02-07,ne,9783
6730,2013-02-08,ne,9611
6731,2013-02-09,ne,9012
6732,2013-02-10,ne,8206
6733,2013-02-11,ne,8216
6734,2013-02-12,ne,8314
6735,2013-02-13,ne,9049
6736,2013-02-14,ne,9830
6737,2013-02-15,ne,9768
6738,2013-02-16,ne,9276
6739,2013-02-17,ne,8507
6740,2013-02-18,ne,9414
6741,2013-02-19,ne,9546
6742,2013-02-20,ne,9600
6743,2013-02-21,ne,9612
6744,2013-02-22,ne,9717
6745,2013-02-23,ne,9253
6746,2013-02-24,ne,8466
6747,2013-02-25,ne,9568
6748,2013-02-26,ne,9840
6749,2013-02-27,ne,10015
6750,2013-02-28,ne,9921
6751,2013-03-01,ne,9857
6752,2013-03-02,ne,9252
6753,2013-03-03,ne,8569
6754,2013-03-04,ne,9673
6755,2013-03-05,ne,9942
6756,2013-03-06,ne,10005
6757,2013-03-07,ne,9942
6758,2013-03-08,ne,9920
6759,2013-03-09,ne,9538
6760,2013-03-10,ne,8807
6761,2013-03-11,ne,10002
6762,2013-03-12,ne,10265
6763,2013-03-13,ne,10324
6764,2013-03-14,ne,10247
6765,2013-03-15,ne,10095
6766,2013-03-16,ne,9396
6767,2013-03-17,ne,8703
6768,2013-03-18,ne,9864
6769,2013-03-19,ne,9790
6770,2013-03-20,ne,9800
6771,2013-03-21,ne,9865
6772,2013-03-22,ne,9926
6773,2013-03-23,ne,9484
6774,2013-03-24,ne,8707
6775,2013-03-25,ne,9678
6776,2013-03-26,ne,10037
6777,2013-03-27,ne,10051
6778,2013-03-28,ne,9777
6779,2013-03-29,ne,8460
6780,2013-03-30,ne,8694
6781,2013-03-31,ne,8376
6782,2013-04-01,ne,9697
6783,2013-04-02,ne,10048
6784,2013-04-03,ne,10112
6785,2013-04-04,ne,10135
6786,2013-04-05,ne,10186
6787,2013-04-06,ne,9729
6788,2013-04-07,ne,9049
6789,2013-04-08,ne,10094
6790,2013-04-09,ne,10197
6791,2013-04-10,ne,10262
6792,2013-04-11,ne,10228
6793,2013-04-12,ne,10199
6794,2013-04-13,ne,9804
6795,2013-04-14,ne,9126
6796,2013-04-15,ne,10268
6797,2013-04-16,ne,10349
6798,2013-04-17,ne,10330
6799,2013-04-18,ne,10147
6800,2013-04-19,ne,9865
6801,2013-04-20,ne,9112
6802,2013-04-21,ne,8249
6803,2013-04-22,ne,9147
6804,2013-04-23,ne,9312
6805,2013-04-24,ne,9248
6806,2013-04-25,ne,9198
6807,2013-04-26,ne,9252
6808,2013-04-27,ne,8851
6809,2013-04-28,ne,8175
6810,2013-04-29,ne,9035
6811,2013-04-30,ne,9234
6812,2013-05-01,ne,8080
6813,2013-05-02,ne,9210
6814,2013-05-03,ne,9300
6815,2013-05-04,ne,8860
6816,2013-05-05,ne,8155
6817,2013-05-06,ne,9144
6818,2013-05-07,ne,9576
6819,2013-05-08,ne,9722
6820,2013-05-09,ne,9693
6821,2013-05-10,ne,9531
6822,2013-05-11,ne,8929
6823,2013-05-12,ne,8198
6824,2013-05-13,ne,9256
6825,2013-05-14,ne,9516
6826,2013-05-15,ne,9375
6827,2013-05-16,ne,9504
6828,2013-05-17,ne,9417
6829,2013-05-18,ne,8836
6830,2013-05-19,ne,8084
6831,2013-05-20,ne,9084
6832,2013-05-21,ne,9364
6833,2013-05-22,ne,9464
6834,2013-05-23,ne,9555
6835,2013-05-24,ne,9621
6836,2013-05-25,ne,9067
6837,2013-05-26,ne,8196
6838,2013-05-27,ne,9056
6839,2013-05-28,ne,9398
6840,2013-05-29,ne,9552
6841,2013-05-30,ne,8893
6842,2013-05-31,ne,9386
6843,2013-06-01,ne,8881
6844,2013-06-02,ne,8345
6845,2013-06-03,ne,9446
6846,2013-06-04,ne,9591
6847,2013-06-05,ne,9441
6848,2013-06-06,ne,9397
6849,2013-06-07,ne,9435
6850,2013-06-08,ne,8836
6851,2013-06-09,ne,7976
6852,2013-06-10,ne,9023
6853,2013-06-11,ne,9247
6854,2013-06-12,ne,9294
6855,2013-06-13,ne,9251
6856,2013-06-14,ne,9314
6857,2013-06-15,ne,8904
6858,2013-06-16,ne,8179
6859,2013-06-17,ne,9247
6860,2013-06-18,ne,9504
6861,2013-06-19,ne,9289
6862,2013-06-20,ne,9323
6863,2013-06-21,ne,9469
6864,2013-06-22,ne,8758
6865,2013-06-23,ne,7976
6866,2013-06-24,ne,8039
6867,2013-06-25,ne,9002
6868,2013-06-26,ne,9142
6869,2013-06-27,ne,9301
6870,2013-06-28,ne,9395
6871,2013-06-29,ne,8809
6872,2013-06-30,ne,8086
6873,2013-07-01,ne,8950
6874,2013-07-02,ne,9016
6875,2013-07-03,ne,9048
6876,2013-07-04,ne,8988
6877,2013-07-05,ne,8953
6878,2013-07-06,ne,8689
6879,2013-07-07,ne,7953
6880,2013-07-08,ne,8948
6881,2013-07-09,ne,9097
6882,2013-07-10,ne,9111
6883,2013-07-11,ne,8991
6884,2013-07-12,ne,9133
6885,2013-07-13,ne,8740
6886,2013-07-14,ne,7928
6887,2013-07-15,ne,8920
6888,2013-07-16,ne,9094
6889,2013-07-17,ne,9090
6890,2013-07-18,ne,9192
6891,2013-07-19,ne,9298
6892,2013-07-20,ne,8809
6893,2013-07-21,ne,8161
6894,2013-07-22,ne,9224
6895,2013-07-23,ne,9251
6896,2013-07-24,ne,9398
6897,2013-07-25,ne,9415
6898,2013-07-26,ne,9300
6899,2013-07-27,ne,8569
6900,2013-07-28,ne,7965
6901,2013-07-29,ne,9075
6902,2013-07-30,ne,9259
6903,2013-07-31,ne,9159
6904,2013-08-01,ne,9151
6905,2013-08-02,ne,9260
6906,2013-08-03,ne,8700
6907,2013-08-04,ne,8051
6908,2013-08-05,ne,9167
6909,2013-08-06,ne,9210
6910,2013-08-07,ne,9208
6911,2013-08-08,ne,9282
6912,2013-08-09,ne,9041
6913,2013-08-10,ne,8845
6914,2013-08-11,ne,8078
6915,2013-08-12,ne,9258
6916,2013-08-13,ne,9499
6917,2013-08-14,ne,9449
6918,2013-08-15,ne,9364
6919,2013-08-16,ne,9451
6920,2013-08-17,ne,8916
6921,2013-08-18,ne,8101
6922,2013-08-19,ne,8995
6923,2013-08-20,ne,9099
6924,2013-08-21,ne,9116
6925,2013-08-22,ne,9309
6926,2013-08-23,ne,9250
6927,2013-08-24,ne,8890
6928,2013-08-25,ne,8058
6929,2013-08-26,ne,9185
6930,2013-08-27,ne,9491
6931,2013-08-28,ne,8331
6932,2013-08-29,ne,9155
6933,2013-08-30,ne,9103
6934,2013-08-31,ne,8637
6935,2013-09-01,ne,7883
6936,2013-09-02,ne,8995
6937,2013-09-03,ne,9296
6938,2013-09-04,ne,9433
6939,2013-09-05,ne,9469
6940,2013-09-06,ne,9381
6941,2013-09-07,ne,8317
6942,2013-09-08,ne,7896
6943,2013-09-09,ne,9082
6944,2013-09-10,ne,9275
6945,2013-09-11,ne,9209
6946,2013-09-12,ne,9247
6947,2013-09-13,ne,9323
6948,2013-09-14,ne,8964
6949,2013-09-15,ne,8273
6950,2013-09-16,ne,9414
6951,2013-09-17,ne,9790
6952,2013-09-18,ne,9813
6953,2013-09-19,ne,9663
6954,2013-09-20,ne,9721
6955,2013-09-21,ne,9184
6956,2013-09-22,ne,8428
6957,2013-09-23,ne,9654
6958,2013-09-24,ne,9903
6959,2013-09-25,ne,10019
6960,2013-09-26,ne,9965
6961,2013-09-27,ne,9829
6962,2013-09-28,ne,9254
6963,2013-09-29,ne,8410
6964,2013-09-30,ne,9459
6965,2013-10-01,ne,9681
6966,2013-10-02,ne,9807
6967,2013-10-03,ne,9822
6968,2013-10-04,ne,9882
