,dia,variable,value
3352,2013-01-07,s,10534
3353,2013-01-08,s,10822
3354,2013-01-09,s,11062
3355,2013-01-10,s,10948
3356,2013-01-11,s,10790
3357,2013-01-12,s,9574
3358,2013-01-13,s,8407
3359,2013-01-14,s,11093
3360,2013-01-15,s,11682
3361,2013-01-16,s,11548
3362,2013-01-17,s,11951
3363,2013-01-18,s,11898
3364,2013-01-19,s,10124
3365,2013-01-20,s,8548
3366,2013-01-21,s,10945
3367,2013-01-22,s,11445
3368,2013-01-23,s,11709
3369,2013-01-24,s,12170
3370,2013-01-25,s,11789
3371,2013-01-26,s,9979
3372,2013-01-27,s,8480
3373,2013-01-28,s,11406
3374,2013-01-29,s,12089
3375,2013-01-30,s,12234
3376,2013-01-31,s,12623
3377,2013-02-01,s,12904
3378,2013-02-02,s,10941
3379,2013-02-03,s,8846
3380,2013-02-04,s,10930
3381,2013-02-05,s,11517
3382,2013-02-06,s,11607
3383,2013-02-07,s,11405
3384,2013-02-08,s,11351
3385,2013-02-09,s,9917
3386,2013-02-10,s,8456
3387,2013-02-11,s,10298
3388,2013-02-12,s,10366
3389,2013-02-13,s,11678
3390,2013-02-14,s,11985
3391,2013-02-15,s,11742
3392,2013-02-16,s,10481
3393,2013-02-17,s,9077
3394,2013-02-18,s,11661
3395,2013-02-19,s,11892
3396,2013-02-20,s,12061
3397,2013-02-21,s,11699
3398,2013-02-22,s,11579
3399,2013-02-23,s,9953
3400,2013-02-24,s,8841
3401,2013-02-25,s,11715
3402,2013-02-26,s,11511
3403,2013-02-27,s,11270
3404,2013-02-28,s,11430
3405,2013-03-01,s,11824
3406,2013-03-02,s,10343
3407,2013-03-03,s,8966
3408,2013-03-04,s,11451
3409,2013-03-05,s,11232
3410,2013-03-06,s,11126
3411,2013-03-07,s,11375
3412,2013-03-08,s,11676
3413,2013-03-09,s,9801
3414,2013-03-10,s,8130
3415,2013-03-11,s,11104
3416,2013-03-12,s,11269
3417,2013-03-13,s,10864
3418,2013-03-14,s,10662
3419,2013-03-15,s,10695
3420,2013-03-16,s,9422
3421,2013-03-17,s,7828
3422,2013-03-18,s,10194
3423,2013-03-19,s,10592
3424,2013-03-20,s,10659
3425,2013-03-21,s,10638
3426,2013-03-22,s,10803
3427,2013-03-23,s,9418
3428,2013-03-24,s,7809
3429,2013-03-25,s,10529
3430,2013-03-26,s,10980
3431,2013-03-27,s,10938
3432,2013-03-28,s,10755
3433,2013-03-29,s,7887
