,dia,variable,value
6,2013-01-07,seco,39290
7,2013-01-08,seco,41221
8,2013-01-09,seco,40655
9,2013-01-10,seco,38982
10,2013-01-11,seco,36935
11,2013-01-12,seco,33732
12,2013-01-13,seco,30412
13,2013-01-14,seco,36093
14,2013-01-15,seco,36896
15,2013-01-16,seco,37255
16,2013-01-17,seco,37240
17,2013-01-18,seco,37518
18,2013-01-19,seco,35117
19,2013-01-20,seco,30938
20,2013-01-21,seco,35893
21,2013-01-22,seco,36808
22,2013-01-23,seco,37728
23,2013-01-24,seco,38861
24,2013-01-25,seco,39277
25,2013-01-26,seco,36210
26,2013-01-27,seco,31412
27,2013-01-28,seco,36857
28,2013-01-29,seco,37481
29,2013-01-30,seco,37733
30,2013-01-31,seco,38432
31,2013-02-01,seco,38932
32,2013-02-02,seco,36245
33,2013-02-03,seco,32668
34,2013-02-04,seco,37956
35,2013-02-05,seco,38111
36,2013-02-06,seco,38186
37,2013-02-07,seco,38018
38,2013-02-08,seco,38140
39,2013-02-09,seco,34776
40,2013-02-10,seco,31491
41,2013-02-11,seco,34079
42,2013-02-12,seco,34599
43,2013-02-13,seco,39004
44,2013-02-14,seco,41248
45,2013-02-15,seco,41748
46,2013-02-16,seco,38453
47,2013-02-17,seco,34777
48,2013-02-18,seco,41354
49,2013-02-19,seco,41968
50,2013-02-20,seco,42185
51,2013-02-21,seco,42258
52,2013-02-22,seco,42010
53,2013-02-23,seco,37725
54,2013-02-24,seco,33950
55,2013-02-25,seco,40939
56,2013-02-26,seco,42163
57,2013-02-27,seco,41213
58,2013-02-28,seco,40414
59,2013-03-01,seco,39166
60,2013-03-02,seco,35581
61,2013-03-03,seco,32772
62,2013-03-04,seco,40487
63,2013-03-05,seco,41791
64,2013-03-06,seco,41805
65,2013-03-07,seco,42194
66,2013-03-08,seco,42109
67,2013-03-09,seco,38563
68,2013-03-10,seco,34711
69,2013-03-11,seco,41103
70,2013-03-12,seco,42089
71,2013-03-13,seco,42157
72,2013-03-14,seco,40775
73,2013-03-15,seco,40114
74,2013-03-16,seco,37045
75,2013-03-17,seco,33243
76,2013-03-18,seco,37765
77,2013-03-19,seco,37584
78,2013-03-20,seco,37685
79,2013-03-21,seco,38366
80,2013-03-22,seco,39426
81,2013-03-23,seco,36501
82,2013-03-24,seco,32359
83,2013-03-25,seco,38505
84,2013-03-26,seco,39088
85,2013-03-27,seco,38632
86,2013-03-28,seco,37589
87,2013-03-29,seco,31111
88,2013-03-30,seco,32137
89,2013-03-31,seco,30506
90,2013-04-01,seco,38089
91,2013-04-02,seco,39305
92,2013-04-03,seco,38995
93,2013-04-04,seco,39141
94,2013-04-05,seco,39010
95,2013-04-06,seco,36056
96,2013-04-07,seco,32332
97,2013-04-08,seco,37589
98,2013-04-09,seco,38104
99,2013-04-10,seco,37719
100,2013-04-11,seco,38217
101,2013-04-12,seco,39017
102,2013-04-13,seco,36035
103,2013-04-14,seco,30942
104,2013-04-15,seco,35857
105,2013-04-16,seco,36642
106,2013-04-17,seco,36272
107,2013-04-18,seco,36246
108,2013-04-19,seco,36810
109,2013-04-20,seco,33669
110,2013-04-21,seco,29751
111,2013-04-22,seco,35141
112,2013-04-23,seco,35748
113,2013-04-24,seco,36314
114,2013-04-25,seco,36438
115,2013-04-26,seco,36323
116,2013-04-27,seco,33758
117,2013-04-28,seco,29954
118,2013-04-29,seco,36127
119,2013-04-30,seco,37459
120,2013-05-01,seco,32385
121,2013-05-02,seco,37102
122,2013-05-03,seco,37787
123,2013-05-04,seco,34822
124,2013-05-05,seco,31041
125,2013-05-06,seco,35902
126,2013-05-07,seco,36087
127,2013-05-08,seco,35709
128,2013-05-09,seco,35860
129,2013-05-10,seco,36150
130,2013-05-11,seco,33334
131,2013-05-12,seco,29460
132,2013-05-13,seco,35889
133,2013-05-14,seco,37138
134,2013-05-15,seco,37898
135,2013-05-16,seco,38111
136,2013-05-17,seco,36721
137,2013-05-18,seco,33072
138,2013-05-19,seco,29258
139,2013-05-20,seco,35512
140,2013-05-21,seco,36747
141,2013-05-22,seco,36842
142,2013-05-23,seco,36494
143,2013-05-24,seco,35761
144,2013-05-25,seco,32560
145,2013-05-26,seco,28620
146,2013-05-27,seco,34765
147,2013-05-28,seco,36695
148,2013-05-29,seco,37193
149,2013-05-30,seco,32815
150,2013-05-31,seco,34162
151,2013-06-01,seco,32086
152,2013-06-02,seco,29471
153,2013-06-03,seco,35559
154,2013-06-04,seco,35670
155,2013-06-05,seco,35237
156,2013-06-06,seco,35583
157,2013-06-07,seco,35728
158,2013-06-08,seco,33092
159,2013-06-09,seco,29474
160,2013-06-10,seco,35305
161,2013-06-11,seco,36316
162,2013-06-12,seco,36649
163,2013-06-13,seco,36317
164,2013-06-14,seco,36568
165,2013-06-15,seco,33464
166,2013-06-16,seco,29637
167,2013-06-17,seco,36285
168,2013-06-18,seco,37253
169,2013-06-19,seco,36615
170,2013-06-20,seco,36685
171,2013-06-21,seco,36766
172,2013-06-22,seco,33887
173,2013-06-23,seco,29881
174,2013-06-24,seco,35515
175,2013-06-25,seco,36428
176,2013-06-26,seco,36796
177,2013-06-27,seco,37549
178,2013-06-28,seco,37281
179,2013-06-29,seco,34037
180,2013-06-30,seco,30046
181,2013-07-01,seco,35520
182,2013-07-02,seco,36046
183,2013-07-03,seco,35914
184,2013-07-04,seco,35513
185,2013-07-05,seco,35663
186,2013-07-06,seco,32558
187,2013-07-07,seco,28986
188,2013-07-08,seco,33729
189,2013-07-09,seco,33202
190,2013-07-10,seco,35379
191,2013-07-11,seco,35047
192,2013-07-12,seco,35359
193,2013-07-13,seco,33044
194,2013-07-14,seco,29440
195,2013-07-15,seco,35402
196,2013-07-16,seco,36556
197,2013-07-17,seco,36625
198,2013-07-18,seco,36730
199,2013-07-19,seco,36771
200,2013-07-20,seco,34327
201,2013-07-21,seco,30800
202,2013-07-22,seco,36643
203,2013-07-23,seco,36086
204,2013-07-24,seco,35054
205,2013-07-25,seco,35135
206,2013-07-26,seco,34870
207,2013-07-27,seco,32188
208,2013-07-28,seco,28729
209,2013-07-29,seco,34347
210,2013-07-30,seco,35600
211,2013-07-31,seco,35904
212,2013-08-01,seco,36434
213,2013-08-02,seco,36685
214,2013-08-03,seco,33728
215,2013-08-04,seco,30389
216,2013-08-05,seco,36137
217,2013-08-06,seco,37256
218,2013-08-07,seco,37255
219,2013-08-08,seco,37653
220,2013-08-09,seco,38150
221,2013-08-10,seco,34383
222,2013-08-11,seco,29450
223,2013-08-12,seco,35792
224,2013-08-13,seco,37699
225,2013-08-14,seco,37453
226,2013-08-15,seco,36408
227,2013-08-16,seco,36189
228,2013-08-17,seco,33803
229,2013-08-18,seco,29833
230,2013-08-19,seco,35549
231,2013-08-20,seco,36694
232,2013-08-21,seco,36924
233,2013-08-22,seco,37338
234,2013-08-23,seco,38040
235,2013-08-24,seco,34814
236,2013-08-25,seco,30984
237,2013-08-26,seco,36459
238,2013-08-27,seco,36707
239,2013-08-28,seco,35947
240,2013-08-29,seco,35808
241,2013-08-30,seco,36407
242,2013-08-31,seco,33959
243,2013-09-01,seco,30296
244,2013-09-02,seco,36889
245,2013-09-03,seco,37873
246,2013-09-04,seco,37337
247,2013-09-05,seco,36676
248,2013-09-06,seco,36397
249,2013-09-07,seco,31669
250,2013-09-08,seco,29873
251,2013-09-09,seco,36479
252,2013-09-10,seco,37674
253,2013-09-11,seco,38240
254,2013-09-12,seco,38099
255,2013-09-13,seco,38051
256,2013-09-14,seco,35132
257,2013-09-15,seco,31757
258,2013-09-16,seco,38575
259,2013-09-17,seco,39464
260,2013-09-18,seco,38676
261,2013-09-19,seco,38427
262,2013-09-20,seco,38805
263,2013-09-21,seco,36368
264,2013-09-22,seco,32949
265,2013-09-23,seco,38761
266,2013-09-24,seco,38373
267,2013-09-25,seco,36689
268,2013-09-26,seco,36704
269,2013-09-27,seco,37086
270,2013-09-28,seco,34533
271,2013-09-29,seco,31187
272,2013-09-30,seco,37355
273,2013-10-01,seco,38550
274,2013-10-02,seco,38603
275,2013-10-03,seco,38780
276,2013-10-04,seco,38566
277,2013-10-05,seco,35153
278,2013-10-06,seco,30244
279,2013-10-07,seco,35134
280,2013-10-08,seco,35837
281,2013-10-09,seco,36181
282,2013-10-10,seco,36692
283,2013-10-11,seco,36572
284,2013-10-12,seco,31699
285,2013-10-13,seco,30321
286,2013-10-14,seco,37880
287,2013-10-15,seco,39045
288,2013-10-16,seco,38581
289,2013-10-17,seco,38146
290,2013-10-18,seco,37801
291,2013-10-19,seco,33887
292,2013-10-20,seco,29534
293,2013-10-21,seco,38445
294,2013-10-22,seco,39599
295,2013-10-23,seco,39748
296,2013-10-24,seco,40067
297,2013-10-25,seco,39751
298,2013-10-26,seco,35764
299,2013-10-27,seco,32588
300,2013-10-28,seco,37363
301,2013-10-29,seco,37726
302,2013-10-30,seco,37837
303,2013-10-31,seco,37711
304,2013-11-01,seco,37136
305,2013-11-02,seco,32276
306,2013-11-03,seco,30610
307,2013-11-04,seco,37823
308,2013-11-05,seco,38092
309,2013-11-06,seco,37238
310,2013-11-07,seco,36862
311,2013-11-08,seco,36890
312,2013-11-09,seco,34145
313,2013-11-10,seco,31401
314,2013-11-11,seco,39682
315,2013-11-12,seco,41558
316,2013-11-13,seco,39825
317,2013-11-14,seco,38580
318,2013-11-15,seco,34149
